epoch=209 loss_d=0.5801 loss_g=1.0171 d_real=0.6473 d_fake=0.3699
epoch=210 loss_d=0.5353 loss_g=1.1291 d_real=0.6546 d_fake=0.3267
epoch=211 loss_d=0.5351 loss_g=1.2460 d_real=0.6321 d_fake=0.3211
epoch=212 loss_d=0.4948 loss_g=1.1230 d_real=0.6639 d_fake=0.3070
epoch=213 loss_d=0.5317 loss_g=1.1207 d_real=0.6663 d_fake=0.3506
epoch=214 loss_d=0.5006 loss_g=1.2599 d_real=0.6575 d_fake=0.2781
epoch=215 loss_d=0.5213 loss_g=1.1351 d_real=0.6479 d_fake=0.3189
epoch=216 loss_d=0.5172 loss_g=1.0979 d_real=0.6690 d_fake=0.3382
epoch=217 loss_d=0.5256 loss_g=1.2183 d_real=0.6452 d_fake=0.3247
epoch=218 loss_d=0.5221 loss_g=1.1725 d_real=0.6724 d_fake=0.3015
epoch=219 loss_d=0.5011 loss_g=1.3032 d_real=0.6360 d_fake=0.2789
epoch=220 loss_d=0.4760 loss_g=1.3917 d_real=0.6801 d_fake=0.2715
epoch=221 loss_d=0.4900 loss_g=1.2823 d_real=0.6719 d_fake=0.2898
epoch=222 loss_d=0.4977 loss_g=1.3302 d_real=0.6642 d_fake=0.2901
epoch=223 loss_d=0.4862 loss_g=1.2034 d_real=0.6724 d_fake=0.3031
epoch=224 loss_d=0.4947 loss_g=1.2588 d_real=0.6555 d_fake=0.2852
epoch=225 loss_d=0.5069 loss_g=1.3562 d_real=0.6458 d_fake=0.2986
epoch=226 loss_d=0.4372 loss_g=1.7727 d_real=0.6769 d_fake=0.1994
epoch=227 loss_d=0.5215 loss_g=1.3221 d_real=0.6553 d_fake=0.2940
epoch=228 loss_d=0.4526 loss_g=1.5695 d_real=0.7130 d_fake=0.2640
epoch=229 loss_d=0.7102 loss_g=1.4560 d_real=0.6574 d_fake=0.3158
epoch=230 loss_d=0.5474 loss_g=1.2505 d_real=0.6687 d_fake=0.3101
